course_code,title,credits,attrs,multi_category
AA 1,First Year Seminar via Integrative Arts,3.0,GA,False
AA 100,Introduction to International Arts,3.0,GA;IL,True
AA 103,Introduction to Interior Design,3.0,GA,False
AA 113,Sustainable Arts and Design,3.0,GA;GS,True
AA 120,Introduction to Art Therapy,3.0,GA;GS,True
AA 121,Design Thinking and Creativity,3.0,GA,False
AA 122,Introduction to Graphic Storytelling,3.0,GA,False
AA 130,Creative Arts Therapy Applications,3.0,GA;GHW,True
AA 160,The Virtual Transformational Leadership Development Experience,3.0,GA;GS;US,True
AA 193,The Craft of Comics,3.0,GA;GH,True
AA 199,Foreign Studies 1-/Maximum of 12,12.0,IL,False
AA 230,Arts & Wellness in Communities,3.0,GA;GHW,True
AA 290G,Creating and Learning with AI in the Arts,3.0,GA,False
AA 299,Foreign Studies 1-/Maximum of 12,12.0,IL,False
AA 399,Foreign Studies 1-/Maximum of 12,12.0,IL,False
AA 499,Foreign Studies 1-/Maximum of 12,12.0,IL,False
AA 99,Foreign Studies 1-/Maximum of 12,12.0,IL,False
AAS 100,Introduction to Asian American Studies,3.0,GH;GS;US,True
ABSM 104,Art and Agriculture,3.0,GA;GN;IL,True
ABSM 391,Communication Skills for BE and ABSM Students,2.0,GWS,False
ABSM 392,Leadership and Ethics for BE and ABSM Students,2.0,GWS,False
ABSM 399,Foreign Studies 1-/Maximum of 12,12.0,IL,False
ABSM 499,Foreign Studies 1-/Maximum of 12,12.0,IL,False
ACCTG 199,Foreign Studies 1-/Maximum of 12,12.0,IL,False
ACCTG 299,Foreign Studies 1-/Maximum of 12,12.0,IL,False
ACCTG 399,Foreign Studies 1-/Maximum of 12,12.0,IL,False
ACCTG 461,International Accounting,3.0,IL,False
ACCTG 499,Foreign Studies 1-/Maximum of 12,12.0,IL,False
ADTED 100,Adult Learners in the University,3.0,GWS,False
ADTED 300,Social Movements and Education: Global Perspectives,3.0,GS;IL;US,True
AED 199,Foreign Studies 1-/Maximum of 12,12.0,IL,False
AED 211,Interpreting Art Experience: Social-cultural Perspectives,3.0,GA,False
AED 225,"Diversity, Pedagogy, and Visual Culture",3.0,GA;US,True
AED 233,Learning in Maker Cultures 1,3.0,GA;GS,True
AED 299,Foreign Studies 1-/Maximum of 12,12.0,IL,False
AED 322,"Media Arts Pedagogies, Transcultural Dialogues, & Bioethics",3.0,IL,False
AED 355Q,Show Me Where it Hurts: Healthcare and Creative Inquiry,3.0,GA;GS,True
AED 399,Foreign Studies 1-/Maximum of 12,12.0,IL,False
AED 499,Foreign Studies 1-/Maximum of 12,12.0,IL,False
AED 62,Contemporary African and African American Arts and Culture,3.0,GA;IL;US,True
AED 99,Foreign Studies 1-/Maximum of 12,12.0,IL,False
AEE 201,Interpersonal Skills for Tomorrow's Leaders,3.0,GS,False
AEE 204,Science Literacy and Policy in the 21st Century,3.0,GN;GS,True
AEE 299,Foreign Studies 1-/Maximum of 24,12.0,IL,False
AEE 499,Foreign Studies 1-/Maximum of 12,12.0,IL,False
AERSP 199,Foreign Studies 1-/Maximum of 12,12.0,IL,False
AERSP 299,Foreign Studies 1-/Maximum of 12,12.0,IL,False
AERSP 399,Foreign Studies 1-/Maximum of 12,12.0,IL,False
AERSP 499,Foreign Studies 1-/Maximum of 12,12.0,IL,False
AFAM 100,Black Freedom Struggles,3.0,GH;GS;IL;US,True
AFAM 101,African American Women,3.0,GH;GS;US,True
AFAM 102,Women of the African Diaspora,3.0,GH;IL,True
AFAM 103,Racism and Sexism,3.0,GH;US,True
AFAM 105,Afro-Latin America: Race and Revolution,3.0,GH;GS;IL,True
AFAM 110,Introduction to African American Studies,3.0,GH;GS;US,True
AFAM 111,Introduction to Anti-Black racism in the United States: The African American Experience,3.0,GH;GS;US,True
AFAM 114,"Race, Gender and Sport",3.0,GH;GS;US,True
AFAM 116,Muslims in America,3.0,GH;US,True
AFAM 126,The Popular Arts in America: The History of Hip-Hop,3.0,GA;GH;US,True
AFAM 132,Afro-Hispanic Civilization,3.0,GH;IL,True
AFAM 136,"Race, Gender, and Employment",3.0,GS;US,True
AFAM 136Y,"Race, Gender, and Employment",3.0,GS;US,True
AFAM 139,African American Literature,3.0,GH;US,True
AFAM 141,African American Read-In Engaged Learning Experience 1-/Maximum of 6,3.0,GA;GH;US,True
AFAM 145,African Diaspora Religions and Spiritualities,3.0,GH;IL;US,True
AFAM 146,"The Life and Thought of Martin Luther King, Jr.",3.0,GH;US,True
AFAM 147,The Life and Thought of Malcolm X,3.0,GH;US,True
AFAM 152,African American History,3.0,GH;US,True
AFAM 164,The History of Brazil,3.0,GH;IL,True
AFAM 207,Jazz and the African American Experience,3.0,GA;GS;US,True
AFAM 208,Workshop: Theatre in Diverse Cultures,3.0,IL;US,True
AFAM 210,"Freedom's First Generation: African American Life and Work, from the Civil War to World War II",3.0,GH;US,True
AFAM 211,Slavery and Freedom in the Black Atlantic,3.0,GH;IL;US,True
AFAM 212,"African Americans in the New Jim Crow Era, 1968-present",3.0,US,False
AFAM 213Y,African American Women's History,3.0,GH;US,True
AFAM 226,Critical Approaches to Hip-Hop,3.0,GA;GH,True
AFAM 235,From Folk Shouts and Songs to Hip Hop Poetry,3.0,US,False
AFAM 250,Introduction to the Caribbean,3.0,GH;IL,True
AFAM 260,A Critically Conscious Approach to Non-Fiction Literature for Children & Adolescents,3.0,GH,False
AFAM 302,Diversity and Health,3.0,US,False
AFAM 303,Race and Gender in the Americas: Latin American and Caribbean Cultures,3.0,IL,False
AFAM 364,Black & White Sexuality,3.0,GH;GS;US,True
AFAM 409,Racial and Ethnic Inequality in America,3.0,US,False
AFAM 412,African American Theatre,3.0,IL;US,True
AFAM 416,"Race, Gender and Science",3.0,IL;US,True
AFAM 422,Contemporary African American Communication,3.0,US,False
AFAM 431,Black Liberation and American Foreign Policy,3.0,IL;US,True
AFAM 432,Between Nation and Empire: The Caribbean in the 20th Century,3.0,IL,False
AFAM 435,Black Ecologies,3.0,GH;GS;IL;US,True
AFAM 460,African American Philosophy,3.0,IL;US,True
AFAM 463,African American Autobiography,3.0,US,False
AFAM 465,The Post-World War II Civil Rights Movement,3.0,US,False
AFAM 466,African American Novel I,3.0,US,False
AFAM 467,African American Novel II,3.0,US,False
AFAM 468,African American Poetry,3.0,US,False
AFAM 469,Slavery and the Literary Imagination,3.0,US,False
AFAM 83,First-Year Seminar in African American Studies,3.0,GH;IL;US,True
AFR 105,African Biodiversity and Conservation,3.0,GN;IL,True
AFR 110,Introduction to Contemporary Africa,3.0,GH;GS;IL,True
AFR 132,Afro-Hispanic Civilization,3.0,GH;IL,True
AFR 150,Africa in Cinema,3.0,GH;IL,True
AFR 191,Early African History,3.0,GH;IL,True
AFR 192,Modern African History,3.0,GH;IL,True
AFR 199,Foreign Studies 1-/Maximum of 12,12.0,IL,False
AFR 202,"Women, Gender, and Feminisms in Africa",3.0,GH;GS;IL,True
AFR 205,Development and Sustainability in Africa,3.0,GS;IL,True
AFR 209,Poverty in Africa,3.0,GS;IL,True
AFR 230,Language and Social Justice,3.0,GH;GS;IL,True
AFR 234,"Environment, Climate Change and Resilience in Africa",3.0,GS,False
AFR 299,Foreign Studies 1-/Maximum of 12,12.0,IL,False
AFR 305,Introduction to Global Health Issues,3.0,IL,False
AFR 310,"Language Rights, Policy, and Planning",3.0,IL,False
AFR 335,African Art,3.0,GA;IL,True
AFR 345,Africa in Global Politics,3.0,GS;GWS;IL,True
AFR 399,Foreign Studies 1-/Maximum of 12,12.0,IL,False
AFR 434,War and Development in Africa,3.0,IL,False
AFR 435,Black Ecologies,3.0,GH;GS;IL;US,True
AFR 440,Globalization and Its Implications,3.0,IL;US,True
AFR 443,Ethnic Conflict in Africa,3.0,IL,False
AFR 444,Resource Governance in Africa,3.0,IL,False
AFR 446,Topics in African Art /Maximum of 9,3.0,IL,False
AFR 447,Topics in the Art of the African Diaspora /Maximum of 6,3.0,IL,False
AFR 449,Sport in African History,3.0,GH;IL,True
AFR 454,Government and Politics of Africa,3.0,IL,False
AFR 464,Extractive Industries in Africa,3.0,IL,False
AFR 479,History of Imperialism and Nationalism in Africa,3.0,IL,False
AFR 485,"Greece, Rome, and Africa",3.0,IL,False
AFR 499,Foreign Studies 1-/Maximum of 12,12.0,IL,False
AG 160,Introduction into Ethics and Issues in Agriculture,3.0,GH,False
AG 180,"Contemporary Issues in Food, Ag, Natural Resources, and Human Sciences",3.0,GH;GN,True
AGBM 101,Economic Principles of Agribusiness Decision Making,3.0,GS,False
AGBM 106,Agribusiness Problem Solving,3.0,GQ,False
AGBM 170,Investigating the U.S. Food System: How food moves from field to table,3.0,GN;GS;US,True
AGBM 199,Foreign Studies - Agribusiness Management 1-/Maximum of 12,12.0,IL,False
AGBM 299,Foreign Studies - Agribusiness Management 1-/Maximum of 12,12.0,IL,False
AGBM 338,Agribusiness in the Global Economy,3.0,IL,False
AGBM 399,Foreign Studies - Agribusiness Management 1-/Maximum of 12,12.0,IL,False
AGBM 499,Foreign Studies - Agribusiness Management 1-/Maximum of 12,12.0,IL,False
AGECO 121,Plant Stress: It's Not Easy Being Green,3.0,GN,False
AGECO 122,Atmospheric Environment: Growing in the Wind,3.0,GN,False
AGECO 134,Sustainable Agriculture Science and Policy,3.0,GN;GS,True
AGECO 144,Principles and Practices of Organic Agriculture,3.0,GN,False
AGECO 499,Foreign Studies 1-/Maximum of 4,2.0,IL,False
AGSC 299,Foreign Studies 1-/Maximum of 24,12.0,IL,False
AGSC 499,Foreign Studies 1-/Maximum of 24,12.0,IL,False
AIR 252,The Evolution of USAF Air and Space Power II /Maximum of 2,2.0,GS,False
AIR 352,Leading People and Effective Communication II,3.0,GWS,False
AIR 451,"National Security, Leadership Responsibilities, and Commissioning Preparation I /Maximum of 3",3.0,GS,False
AMST 100,Introduction to American Studies,3.0,GH;US,True
